   59.7376976   # Box length L  
   10648        # Number of sites 
   4.07302475       9.50372505       44.8032722    
   4.07302475       6.78837490       47.5186234    
   0.00000000       5.43069983       48.8762970    
   0.00000000       8.14604950       51.5916481    
   2.71534991       8.14604950       48.8762970    
   2.71534991       5.43069983       51.5916481    
   1.35767496       6.78837490       50.2339745    
   1.35767496       9.50372505       52.9493217    
   4.07302475       9.50372505       50.2339745    
   4.07302475       6.78837490       52.9493217    
   0.00000000       5.43069983       54.3069992    
   0.00000000       8.14604950       57.0223465    
   2.71534991       8.14604950       54.3069992    
   2.71534991       5.43069983       57.0223465    
   1.35767496       6.78837490       55.6646729    
   1.35767496       9.50372505       58.3800240    
   4.07302475       9.50372505       55.6646729    
   4.07302475       6.78837490       58.3800240    
   0.00000000       10.8613997       0.00000000    
   0.00000000       13.5767498       2.71534991    
   2.71534991       13.5767498       0.00000000    
   2.71534991       10.8613997       2.71534991    
   1.35767496       12.2190742       1.35767496    
   1.35767496       14.9344244       4.07302475    
   4.07302475       14.9344244       1.35767496    
   4.07302475       12.2190742       4.07302475    
   0.00000000       10.8613997       5.43069983    
   0.00000000       13.5767498       8.14604950    
   2.71534991       13.5767498       5.43069983    
   2.71534991       10.8613997       8.14604950    
   1.35767496       12.2190742       6.78837490    
   1.35767496       14.9344244       9.50372505    
   4.07302475       14.9344244       6.78837490    
   4.07302475       12.2190742       9.50372505    
   0.00000000       10.8613997       10.8613997    
   0.00000000       13.5767498       13.5767498    
   2.71534991       13.5767498       10.8613997    
   2.71534991       10.8613997       13.5767498    
   1.35767496       12.2190742       12.2190742    
   1.35767496       14.9344244       14.9344244    
   4.07302475       14.9344244       12.2190742    
   4.07302475       12.2190742       14.9344244    
   0.00000000       10.8613997       16.2920990    
   0.00000000       13.5767498       19.0074501    
   2.71534991       13.5767498       16.2920990    
   2.71534991       10.8613997       19.0074501    
   1.35767496       12.2190742       17.6497746    
   1.35767496       14.9344244       20.3651237    
   4.07302475       14.9344244       17.6497746    
   4.07302475       12.2190742       20.3651237    
   0.00000000       10.8613997       21.7227993    
   0.00000000       13.5767498       24.4381485    
   2.71534991       13.5767498       21.7227993    
   2.71534991       10.8613997       24.4381485    
   1.35767496       12.2190742       23.0804749    
   1.35767496       14.9344244       25.7958241    
   4.07302475       14.9344244       23.0804749    
   4.07302475       12.2190742       25.7958241    
   0.00000000       10.8613997       27.1534996    
   0.00000000       13.5767498       29.8688488    
   2.71534991       13.5767498       27.1534996    
   2.71534991       10.8613997       29.8688488    
   1.35767496       12.2190742       28.5111732    
   1.35767496       14.9344244       31.2265244    
   4.07302475       14.9344244       28.5111732    
   4.07302475       12.2190742       31.2265244    
   0.00000000       10.8613997       32.5841980    
   0.00000000       13.5767498       35.2995491    
   2.71534991       13.5767498       32.5841980    
   2.71534991       10.8613997       35.2995491    
   1.35767496       12.2190742       33.9418755    
   1.35767496       14.9344244       36.6572227    
   4.07302475       14.9344244       33.9418755    
   4.07302475       12.2190742       36.6572227    
   0.00000000       10.8613997       38.0149002    
   0.00000000       13.5767498       40.7302475    
   2.71534991       13.5767498       38.0149002    
   2.71534991       10.8613997       40.7302475    
   1.35767496       12.2190742       39.3725739    
   1.35767496       14.9344244       42.0879250    
   4.07302475       14.9344244       39.3725739    
   4.07302475       12.2190742       42.0879250    
   0.00000000       10.8613997       43.4455986    
   0.00000000       13.5767498       46.1609497    
   2.71534991       13.5767498       43.4455986    
   2.71534991       10.8613997       46.1609497    
   1.35767496       12.2190742       44.8032722    
   1.35767496       14.9344244       47.5186234    
   4.07302475       14.9344244       44.8032722    
   4.07302475       12.2190742       47.5186234    
   0.00000000       10.8613997       48.8762970    
   0.00000000       13.5767498       51.5916481    
   2.71534991       13.5767498       48.8762970    
   2.71534991       10.8613997       51.5916481    
   1.35767496       12.2190742       50.2339745    
   1.35767496       14.9344244       52.9493217    
   4.07302475       14.9344244       50.2339745    
   4.07302475       12.2190742       52.9493217    
   0.00000000       10.8613997       54.3069992    
   0.00000000       13.5767498       57.0223465    
   2.71534991       13.5767498       54.3069992    
   2.71534991       10.8613997       57.0223465    
   1.35767496       12.2190742       55.6646729    
   1.35767496       14.9344244       58.3800240    
   4.07302475       14.9344244       55.6646729    
   4.07302475       12.2190742       58.3800240    
   0.00000000       16.2920990       0.00000000    
   0.00000000       19.0074501       2.71534991    
   2.71534991       19.0074501       0.00000000    
   2.71534991       16.2920990       2.71534991    
   1.35767496       17.6497746       1.35767496    
   1.35767496       20.3651237       4.07302475    
   4.07302475       20.3651237       1.35767496    
   4.07302475       17.6497746       4.07302475    
   0.00000000       16.2920990       5.43069983    
   0.00000000       19.0074501       8.14604950    
   2.71534991       19.0074501       5.43069983    
   2.71534991       16.2920990       8.14604950    
   1.35767496       17.6497746       6.78837490    
   1.35767496       20.3651237       9.50372505    
   4.07302475       20.3651237       6.78837490    
   4.07302475       17.6497746       9.50372505    
   0.00000000       16.2920990       10.8613997    
   0.00000000       19.0074501       13.5767498    
   2.71534991       19.0074501       10.8613997    
   2.71534991       16.2920990       13.5767498    
   1.35767496       17.6497746       12.2190742    
   1.35767496       20.3651237       14.9344244    
   4.07302475       20.3651237       12.2190742    
   4.07302475       17.6497746       14.9344244    
   0.00000000       16.2920990       16.2920990    
   0.00000000       19.0074501       19.0074501    
   2.71534991       19.0074501       16.2920990    
   2.71534991       16.2920990       19.0074501    
   1.35767496       17.6497746       17.6497746    
   1.35767496       20.3651237       20.3651237    
   4.07302475       20.3651237       17.6497746    
   4.07302475       17.6497746       20.3651237    
   0.00000000       16.2920990       21.7227993    
   0.00000000       19.0074501       24.4381485    
   2.71534991       19.0074501       21.7227993    
   2.71534991       16.2920990       24.4381485    
   1.35767496       17.6497746       23.0804749    
   1.35767496       20.3651237       25.7958241    
   4.07302475       20.3651237       23.0804749    
   4.07302475       17.6497746       25.7958241    
   0.00000000       16.2920990       27.1534996    
   0.00000000       19.0074501       29.8688488    
   2.71534991       19.0074501       27.1534996    
   2.71534991       16.2920990       29.8688488    
   1.35767496       17.6497746       28.5111732    
   1.35767496       20.3651237       31.2265244    
   4.07302475       20.3651237       28.5111732    
   4.07302475       17.6497746       31.2265244    
   0.00000000       16.2920990       32.5841980    
   0.00000000       19.0074501       35.2995491    
   2.71534991       19.0074501       32.5841980    
   2.71534991       16.2920990       35.2995491    
   1.35767496       17.6497746       33.9418755    
   1.35767496       20.3651237       36.6572227    
   4.07302475       20.3651237       33.9418755    
   4.07302475       17.6497746       36.6572227    
   0.00000000       16.2920990       38.0149002    
   0.00000000       19.0074501       40.7302475    
   2.71534991       19.0074501       38.0149002    
   2.71534991       16.2920990       40.7302475    
   1.35767496       17.6497746       39.3725739    
   1.35767496       20.3651237       42.0879250    
   4.07302475       20.3651237       39.3725739    
   4.07302475       17.6497746       42.0879250    
   0.00000000       16.2920990       43.4455986    
   0.00000000       19.0074501       46.1609497    
   2.71534991       19.0074501       43.4455986    
   2.71534991       16.2920990       46.1609497    
   1.35767496       17.6497746       44.8032722    
   1.35767496       20.3651237       47.5186234    
   4.07302475       20.3651237       44.8032722    
   4.07302475       17.6497746       47.5186234    
   0.00000000       16.2920990       48.8762970    
   0.00000000       19.0074501       51.5916481    
   2.71534991       19.0074501       48.8762970    
   2.71534991       16.2920990       51.5916481    
   1.35767496       17.6497746       50.2339745    
   1.35767496       20.3651237       52.9493217    
   4.07302475       20.3651237       50.2339745    
   4.07302475       17.6497746       52.9493217    
   0.00000000       16.2920990       54.3069992    
   0.00000000       19.0074501       57.0223465    
   2.71534991       19.0074501       54.3069992    
   2.71534991       16.2920990       57.0223465    
   1.35767496       17.6497746       55.6646729    
   1.35767496       20.3651237       58.3800240    
   4.07302475       20.3651237       55.6646729    
   4.07302475       17.6497746       58.3800240    
